Product_Card_Id,Unit_price,ABC_Class,Holding_Cost_Percent,Holding_Cost,Annual_Demand,EOQ
19,124.9899979,C,0.1,12.498999790000001,8.0,8.000320086409346
24,79.98999786,C,0.1,7.998999786000001,39.333333333333336,22.174944100011263
35,159.9900055,C,0.1,15.99900055,9.333333333333334,7.637864713981687
37,34.99000168,C,0.1,3.4990001680000002,121.0,58.80587324837191
44,59.99000168,C,0.1,5.999000168,131.0,46.7300462414362
58,299.9899902,C,0.1,29.998999020000003,3.6666666666666665,3.4960878196201275
60,999.9899902000001,C,0.1,99.99899902000001,1.0,1.0000050049375737
61,299.9899902,C,0.1,29.998999020000003,3.3333333333333335,3.3333889447249843
78,99.98999786,C,0.1,9.998999786,22.666666666666668,15.056206044414502
93,24.98999977,C,0.1,2.4989999770000004,123.33333333333333,70.25174376297613
116,44.99000168,C,0.1,4.499000168,137.0,55.18261523633042
127,329.9899902,C,0.1,32.99899902000001,2.3333333333333335,2.6591204468850305
134,25.0,C,0.1,2.5,124.66666666666667,70.61633427661526
135,22.0,C,0.1,2.2,119.66666666666667,73.75224701250762
172,30.0,C,0.1,3.0,131.66666666666666,66.24868971450597
191,99.98999786,A,0.25,24.997499465,5425.0,147.31656621539412
203,399.9899902,C,0.1,39.99899902000001,6.0,3.87303180685282
208,1999.9899899999998,C,0.1,199.998999,3.6666666666666665,1.3540097891863971
216,189.0,C,0.1,18.900000000000002,9.0,6.900655593423542
226,599.9899902,C,0.1,59.99899902,2.0,1.8257570879668221
235,34.99000168,C,0.1,3.4990001680000002,120.66666666666667,58.7248175609858
249,54.97000122,C,0.1,5.497000122,114.0,45.539635727883855
251,89.98999786,C,0.1,8.998999786,30.333333333333332,18.359588714726
258,94.98999786,C,0.1,9.498999786,30.666666666666668,17.967776937626052
273,27.98999977,C,0.1,2.7989999770000002,105.66666666666667,61.44231298927233
276,31.989999770000004,C,0.1,3.1989999770000006,128.0,63.25543786517555
278,44.99000168,C,0.1,4.499000168,116.33333333333333,50.85036579924719
282,31.98999977,C,0.1,3.198999977,126.66666666666667,62.925120005011806
295,99.94999695,C,0.1,9.994999695,22.0,14.836106690915544
303,399.9899902,C,0.1,39.99899902000001,6.666666666666667,4.082533986644082
305,199.0,C,0.1,19.900000000000002,10.0,7.088812050083359
306,89.98999786,C,0.1,8.998999786,28.666666666666668,17.848078915478016
311,109.9499969,C,0.1,10.99499969,9.333333333333334,9.213418055944738
359,99.98999786,C,0.1,9.998999786,26.0,16.125321955402104
364,299.9899902,C,0.1,29.998999020000003,5.333333333333333,4.216440557022426
365,59.99000168,A,0.25,14.99750042,10721.666666666666,267.37556119533537
403,129.9900055,B,0.15,19.498500824999997,3279.6666666666665,129.69231496417027
502,50.0,A,0.25,12.5,9246.666666666666,271.98039145007004
564,30.0,C,0.1,3.0,143.66666666666666,69.20179830675565
565,70.0,C,0.1,7.0,131.0,43.26001122779063
567,25.0,C,0.1,2.5,108.33333333333333,65.82805886043833
572,39.99000168,C,0.1,3.9990001680000002,122.66666666666667,55.38441474082316
607,249.9900055,C,0.1,24.99900055,10.0,6.324681745663743
625,199.9900055,C,0.1,19.99900055,6.333333333333333,5.627454949464298
627,39.99000168,B,0.15,5.9985002519999995,4600.0,276.9220737041158
642,30.0,C,0.1,3.0,139.0,68.06859285554046
646,99.98999786,C,0.1,9.998999786,22.333333333333332,14.945088614006702
647,134.9900055,C,0.1,13.49900055,10.0,8.606948264670617
652,129.9900055,C,0.1,12.99900055,9.0,8.320822805155307
