Product Card Id,Avg_Daily_Demand,Std_Daily_Demand,ABC Class,Annual_Demand,EOQ,Lead_time,z_score,Safety_stock,ROP
19,1.0909090909090908,0.29424494316824984,C,8.0,8.000320086409346,3.75,1.28,0.7293476893416829,4.820256780250774
24,3.5757575757575757,1.820547703136048,C,39.333333333333336,22.174944100011263,3.4324324324324325,1.28,4.317307985208867,16.59085425875514
35,1.0769230769230769,0.271746488194703,C,9.333333333333334,7.637864713981687,3.4285714285714284,1.28,0.6440662036819466,4.336373895989639
37,3.361111111111111,1.8917347689718749,C,121.0,58.80587324837191,3.341880341880342,1.28,4.426552948898166,15.658984097995983
44,3.023076923076923,1.7847996635472037,C,131.0,46.7300462414362,3.6544117647058822,1.28,4.367251324738657,15.414819198041824
58,1.375,0.7440238091428449,C,3.6666666666666665,3.4960878196201275,3.4545454545454546,1.28,1.7700774067746379,6.520077406774638
60,1.5,0.7071067811865476,C,1.0,1.0000050049375737,3.3333333333333335,1.28,1.6524728943818314,6.652472894381831
61,1.1111111111111112,0.33333333333333337,C,3.3333333333333335,3.3333889447249843,3.5,1.28,0.7982202425117743,4.687109131400663
78,2.72,1.7445152144172698,C,22.666666666666668,15.056206044414502,3.4615384615384617,1.28,4.154505246855977,13.569889862240593
93,3.135593220338983,1.6687948168688516,C,123.33333333333333,70.25174376297613,3.5793650793650795,1.28,4.04125179231916,15.26468466829441
116,3.236220472440945,1.814652412881749,C,137.0,55.18261523633042,3.6176470588235294,1.28,4.417906470314815,16.125409944145293
127,1.1666666666666667,0.408248290463863,C,2.3333333333333335,2.6591204468850305,3.857142857142857,1.28,1.0262831689437097,5.52628316894371
134,3.0655737704918034,1.7474311957182,C,124.66666666666667,70.61633427661526,3.3636363636363638,1.28,4.102178685269929,14.413654095105997
135,2.9669421487603307,1.4197058633012722,C,119.66666666666667,73.75224701250762,3.302325581395349,1.28,3.302313424284112,13.100122380655437
172,2.925925925925926,1.6867775053874292,C,131.66666666666666,66.24868971450597,3.541095890410959,1.28,4.062904498091911,14.423888770035088
191,16.35678391959799,8.049166178278094,A,5425.0,147.31656621539412,3.465193985520698,2.05,30.716273836989455,87.39570309764208
203,1.5,0.5222329678670935,C,6.0,3.87303180685282,2.9444444444444446,1.28,1.1470330633791026,5.563699730045769
208,2.75,1.2583057392117916,C,3.6666666666666665,1.3540097891863971,3.3636363636363638,1.28,2.9539331766512955,12.203933176651296
216,1.173913043478261,0.38755338788158983,C,9.0,6.900655593423542,3.7037037037037037,1.28,0.9546839586934927,5.302510045650015
226,2.0,1.0,C,2.0,1.8257570879668221,2.6666666666666665,1.28,2.090231247174979,7.423564580508312
235,2.9430894308943087,1.6511338032391119,C,120.66666666666667,58.7248175609858,3.6875,1.28,4.058431805411912,14.911074081834675
249,3.2884615384615383,1.5683339556882012,C,114.0,45.539635727883855,3.6666666666666665,1.28,3.8440075345679654,15.901699842260271
251,3.3703703703703702,1.8841065654196818,C,30.333333333333332,18.359588714726,3.5172413793103448,1.28,4.5228951446217005,16.3773012748899
258,3.5384615384615383,2.1768007576398762,C,30.666666666666668,17.967776937626052,3.7096774193548385,1.28,5.366569064455726,18.49311993294208
273,3.372340425531915,1.6719317431737681,C,105.66666666666667,61.44231298927233,3.3737373737373737,1.28,3.930828978809506,15.308219909391926
276,3.398230088495575,2.0201654061029686,C,128.0,63.25543786517555,3.6538461538461537,1.28,4.942788506734703,17.359398445468535
278,3.2314814814814814,1.7054419849821456,C,116.33333333333333,50.85036579924719,3.210526315789474,1.28,3.911425268228623,14.286181603511274
282,3.247863247863248,1.7415113477210202,C,126.66666666666667,62.925120005011806,3.403225806451613,1.28,4.112270376417938,15.165482397371896
295,2.869565217391304,1.659801407235953,C,22.0,14.836106690915544,3.423076923076923,1.28,3.930740988510881,13.753483463427267
303,1.5384615384615385,0.7762500258061847,C,6.666666666666667,4.082533986644082,3.6,1.28,1.885223512559636,7.423685051021176
305,1.1538461538461537,0.46409548089225705,C,10.0,7.088812050083359,3.6333333333333333,1.28,1.1323219620059592,5.324629654313651
306,3.739130434782609,1.982133637003497,C,28.666666666666668,17.848078915478016,3.4827586206896552,1.28,4.734832164674977,17.75732092029717
311,1.2173913043478262,0.518434859512082,C,9.333333333333334,9.213418055944738,3.892857142857143,1.28,1.3092976811416974,6.048428115924307
359,3.0,1.4422205101855956,C,26.0,16.125321955402104,3.5,1.28,3.4536288161874023,13.953628816187402
364,1.4545454545454546,0.8201995322647244,C,5.333333333333333,4.216440557022426,3.5625,1.28,1.9815586151952571,7.163376797013439
365,31.973161033797215,11.564841011006733,A,10721.666666666666,267.37556119533537,3.5034683164604425,2.05,44.375435152799206,156.39239181179536
403,9.790049751243782,3.486270810030246,B,3279.6666666666665,129.69231496417027,3.4858217298505947,1.65,10.739836016486775,44.86620417569076
502,27.57455268389662,11.222751790889262,A,9246.666666666666,271.98039145007004,3.4762775685852607,2.05,42.89537234514621,138.75217130394853
564,3.393700787401575,2.07845134775856,C,143.66666666666666,69.20179830675565,3.50354609929078,1.28,4.979706548976286,16.869693704837122
565,3.2479338842975207,1.664737175129742,C,131.0,43.26001122779063,3.4393939393939394,1.28,3.951815026901603,15.122739144106712
567,2.981651376146789,1.758480253873207,C,108.33333333333333,65.82805886043833,3.7094017094017095,1.28,4.335102789525701,15.39524550104456
572,3.0163934426229506,1.5901744098811745,C,122.66666666666667,55.38441474082316,3.5625,1.28,3.8417771256983153,14.587678765042575
